Reference, Value, Footprint, Datasheet
"U5","HEF4094B","74xx-us:74xx-us-SO16",""
"P2","CONN_16","con-molex:con-molex-70543-16",""
"R4","10K","Resistors_SMD:R_1206_HandSoldering",""
"R8","2.2K","Resistors_SMD:R_1206_HandSoldering",""
"RV1","10K","Potentiometers:Potentiometer_Trimmer-EVM3E",""
"P1","CONN_13X2","con-3m:PAK100_2500-5-26",""
"P3","CONN_12","con-molex:con-molex-70543-12",""
"J1","06241","sdcard:SDCARD-SOCKET",""
"R9","10K","Resistors_SMD:R_1206_HandSoldering",""
"R10","10K","Resistors_SMD:R_1206_HandSoldering",""
"R11","10K","Resistors_SMD:R_1206_HandSoldering",""
"R12","10K","Resistors_SMD:R_1206_HandSoldering",""
"R13","10K","Resistors_SMD:R_1206_HandSoldering",""
"R14","1K","Resistors_SMD:R_1206_HandSoldering",""
"R15","1K","Resistors_SMD:R_1206_HandSoldering",""
"R16","1K","Resistors_SMD:R_1206_HandSoldering",""
"R17","1K","Resistors_SMD:R_1206_HandSoldering",""
"R18","1K","Resistors_SMD:R_1206_HandSoldering",""
"TV2","ESDA6V1U1","74xx-us:74xx-us-SO08",""
"TV1","ESDA6V1U1","74xx-us:74xx-us-SO08",""
"TV3","ESDA6V1U1","74xx-us:74xx-us-SO08",""
"U2","74LVC1T45","TO_SOT_Packages_SMD:SC-70-6_Handsoldering",""
"U3","74LVC1T45","TO_SOT_Packages_SMD:SC-70-6_Handsoldering",""
"U4","74LVC1T45","TO_SOT_Packages_SMD:SC-70-6_Handsoldering",""
"U1","74LVC1T45","TO_SOT_Packages_SMD:SC-70-6_Handsoldering",""
"R1","10K","Resistors_SMD:R_1206_HandSoldering",""
"R2","10K","Resistors_SMD:R_1206_HandSoldering",""
"D1","GREEN","LEDs:LED_1206",""
"D2","RED","LEDs:LED_1206",""
"R5","560","Resistors_SMD:R_1206_HandSoldering",""
"R7","560","Resistors_SMD:R_1206_HandSoldering",""
"R3","22","Resistors_SMD:R_1206_HandSoldering",""
"R6","220","Resistors_SMD:R_1206_HandSoldering",""
"C2","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C10","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C6","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C9","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C5","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C4","47uF 10V","Capacitors_SMD:c_elec_6.3x5.8",""
"C8","47uF 10V","Capacitors_SMD:c_elec_6.3x5.8",""
"C7","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C11","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"R19","330","Resistors_SMD:R_1206_HandSoldering",""
"D3","GREEN","LEDs:LED_1206",""
"P4","CONN_1","Connectors:1pin",""
"C1","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"C3","0.1uF","Capacitors_SMD:C_1206_HandSoldering",""
"U6","LM1117MP-3.3","TO_SOT_Packages_SMD:SOT-223",""
